Weld_Type,Filler,x_mm,R1_HV,R2_HV,R3_HV,Mean_HV,StdDev_HV,Zone
S355-S355,E6018,6.5,168.8,165.9,176.0,170.2,5.2,Base Metal - S355
S355-S355,E6018,6.6,173.4,168.9,164.1,168.8,4.7,Base Metal - S355
S355-S355,E6018,6.7,159.7,169.8,173.8,167.8,7.3,Base Metal - S355
S355-S355,E6018,6.8,169.7,177.3,168.3,171.8,4.8,Base Metal - S355
S355-S355,E6018,6.9,171.7,170.8,174.5,172.3,1.9,Base Metal - S355
S355-S355,E6018,7.0,175.7,179.1,166.0,173.6,6.8,Base Metal - S355
S355-S355,E6018,7.1,176.1,164.8,158.7,166.5,8.8,Base Metal - S355
S355-S355,E6018,7.2,179.8,164.0,165.1,169.6,8.8,Base Metal - S355
S355-S355,E6018,7.3,164.9,175.9,160.5,167.1,7.9,Base Metal - S355
S355-S355,E6018,7.4,161.9,162.2,168.0,164.0,3.4,Base Metal - S355
S355-S355,E6018,7.5,173.2,157.6,163.3,164.7,7.9,Base Metal - S355
S355-S355,E6018,7.6,162.2,161.6,152.3,158.7,5.6,Base Metal - S355
S355-S355,E6018,7.7,162.8,159.9,163.8,162.2,2.0,Base Metal - S355
S355-S355,E6018,7.8,160.9,163.0,163.7,162.5,1.5,Base Metal - S355
S355-S355,E6018,7.9,166.6,162.9,167.8,165.8,2.6,Base Metal - S355
S355-S355,E6018,8.0,160.9,163.5,173.7,166.0,6.8,Base Metal - S355
X70-S355,E6018,-8.0,215.7,212.9,213.4,214.0,1.5,Base Metal - X70 side
X70-S355,E6018,-7.9,212.3,206.5,207.9,208.9,3.0,Base Metal - X70 side
X70-S355,E6018,-7.8,224.1,213.7,214.3,217.4,5.8,Base Metal - X70 side
X70-S355,E6018,-7.7,216.4,217.6,223.4,219.1,3.7,Base Metal - X70 side
X70-S355,E6018,-7.6,216.4,210.7,218.9,215.3,4.2,Base Metal - X70 side
X70-S355,E6018,-7.5,210.8,224.0,217.9,217.6,6.6,Base Metal - X70 side
X70-S355,E6018,-7.4,229.2,212.2,224.4,221.9,8.8,Base Metal - X70 side
X70-S355,E6018,-7.3,215.1,207.4,216.2,212.9,4.8,Base Metal - X70 side
X70-S355,E6018,-7.2,222.1,214.9,217.0,218.0,3.7,Base Metal - X70 side
X70-S355,E6018,-7.1,213.1,214.9,221.6,216.5,4.5,Base Metal - X70 side
X70-S355,E6018,-7.0,214.7,216.0,217.6,216.1,1.5,Base Metal - X70 side
X70-S355,E6018,-6.9,213.4,211.3,217.5,214.1,3.2,Base Metal - X70 side
X70-S355,E6018,-6.8,216.5,211.0,213.1,213.5,2.8,Base Metal - X70 side
X70-S355,E6018,-6.7,216.1,216.4,228.7,220.4,7.2,Base Metal - X70 side
X70-S355,E6018,-6.6,207.8,216.5,215.8,213.4,4.8,Base Metal - X70 side
X70-S355,E6018,-6.5,211.9,205.3,212.8,210.0,4.1,Base Metal - X70 side
X70-S355,E6018,-6.4,203.2,217.7,211.2,210.7,7.3,Base Metal - X70 side
X70-S355,E6018,-6.3,213.2,214.6,214.1,214.0,0.7,Base Metal - X70 side
X70-S355,E6018,-6.2,214.1,211.6,210.1,211.9,2.0,Base Metal - X70 side
X70-S355,E6018,-6.1,222.8,220.4,218.2,220.5,2.3,Base Metal - X70 side
X70-S355,E6018,-6.0,218.0,213.1,210.7,213.9,3.7,Base Metal - X70 side
X70-S355,E6018,-5.9,216.7,211.6,220.1,216.1,4.3,Base Metal - X70 side
X70-S355,E6018,-5.8,218.1,223.8,215.6,219.2,4.2,Base Metal - X70 side
X70-S355,E6018,-5.7,223.7,213.6,215.1,217.5,5.5,Base Metal - X70 side
X70-S355,E6018,-5.6,224.6,228.0,229.6,227.4,2.6,Base Metal - X70 side
X70-S355,E6018,-5.5,226.4,209.5,228.0,221.3,10.3,Base Metal - X70 side
X70-S355,E6018,-5.4,212.2,221.3,220.4,218.0,5.0,Base Metal - X70 side
X70-S355,E6018,-5.3,226.6,219.9,214.6,220.4,6.0,Base Metal - X70 side
X70-S355,E6018,-5.2,217.1,221.7,224.4,221.1,3.7,Base Metal - X70 side
X70-S355,E6018,-5.1,219.1,218.4,208.4,215.3,6.0,Base Metal - X70 side
X70-S355,E6018,-5.0,217.5,228.3,221.9,222.6,5.4,Base Metal - X70 side
X70-S355,E6018,-4.9,222.6,233.2,227.4,227.7,5.3,HAZ - X70 side
X70-S355,E6018,-4.8,224.9,239.6,227.5,230.7,7.8,HAZ - X70 side
X70-S355,E6018,-4.7,245.2,251.0,243.4,246.5,4.0,HAZ - X70 side
X70-S355,E6018,-4.6,252.9,241.8,250.0,248.2,5.8,HAZ - X70 side
X70-S355,E6018,-4.5,240.1,254.2,249.5,247.9,7.2,HAZ - X70 side
X70-S355,E6018,-4.4,240.7,247.8,245.0,244.5,3.6,HAZ - X70 side
X70-S355,E6018,-4.3,229.9,224.4,227.9,227.4,2.8,HAZ - X70 side
X70-S355,E6018,-4.2,227.3,223.5,227.2,226.0,2.2,HAZ - X70 side
X70-S355,E6018,-4.1,204.7,199.7,214.9,206.4,7.7,HAZ - X70 side
X70-S355,E6018,-4.0,196.4,198.6,204.5,199.8,4.2,HAZ - X70 side
X70-S355,E6018,-3.9,197.8,194.7,189.5,194.0,4.2,HAZ - X70 side
X70-S355,E6018,-3.8,191.8,201.0,183.0,191.9,9.0,HAZ - X70 side
X70-S355,E6018,-3.7,186.1,193.2,183.1,187.5,5.2,Fusion Zone (E6018)
X70-S355,E6018,-3.6,185.7,188.6,185.8,186.7,1.6,Fusion Zone (E6018)
X70-S355,E6018,-3.5,192.7,186.7,199.3,192.9,6.3,Fusion Zone (E6018)
X70-S355,E6018,-3.4,186.4,192.9,190.6,190.0,3.3,Fusion Zone (E6018)
X70-S355,E6018,-3.3,189.3,185.4,189.6,188.1,2.3,Fusion Zone (E6018)
X70-S355,E6018,-3.2,190.9,194.1,183.5,189.5,5.4,Fusion Zone (E6018)
X70-S355,E6018,-3.1,192.0,187.4,192.7,190.7,2.9,Fusion Zone (E6018)
X70-S355,E6018,-3.0,180.5,186.3,194.7,187.2,7.1,Fusion Zone (E6018)
X70-S355,E6018,-2.9,196.9,200.7,194.3,197.3,3.2,Fusion Zone (E6018)
X70-S355,E6018,-2.8,196.1,197.9,206.5,200.2,5.6,Fusion Zone (E6018)
X70-S355,E6018,-2.7,193.8,190.9,185.8,190.2,4.1,Fusion Zone (E6018)
X70-S355,E6018,-2.6,188.3,185.1,181.6,185.0,3.4,Fusion Zone (E6018)
X70-S355,E6018,-2.5,183.7,180.8,186.4,183.6,2.8,Fusion Zone (E6018)
X70-S355,E6018,-2.4,192.6,184.5,198.9,192.0,7.2,Fusion Zone (E6018)
X70-S355,E6018,-2.3,189.6,184.6,180.8,185.0,4.4,Fusion Zone (E6018)
X70-S355,E6018,-2.2,178.7,193.1,197.3,189.7,9.8,Fusion Zone (E6018)
X70-S355,E6018,-2.1,183.5,186.9,190.6,187.0,3.6,Fusion Zone (E6018)
X70-S355,E6018,-2.0,182.5,181.6,182.9,182.3,0.7,Fusion Zone (E6018)
X70-S355,E6018,-1.9,185.4,186.4,194.1,188.6,4.8,Fusion Zone (E6018)
X70-S355,E6018,-1.8,188.2,195.6,189.3,191.0,4.0,Fusion Zone (E6018)
X70-S355,E6018,-1.7,194.4,186.2,184.9,188.5,5.2,Fusion Zone (E6018)
X70-S355,E6018,-1.6,187.1,191.3,192.1,190.2,2.7,Fusion Zone (E6018)
X70-S355,E6018,-1.5,189.2,185.9,188.4,187.8,1.7,Fusion Zone (E6018)
X70-S355,E6018,-1.4,189.7,184.3,196.0,190.0,5.9,Fusion Zone (E6018)
X70-S355,E6018,-1.3,183.7,188.2,180.1,184.0,4.1,Fusion Zone (E6018)
X70-S355,E6018,-1.2,187.3,200.0,191.4,192.9,6.5,Fusion Zone (E6018)
X70-S355,E6018,-1.1,190.5,195.0,178.8,188.1,8.4,Fusion Zone (E6018)
X70-S355,E6018,-1.0,186.0,193.1,191.5,190.2,3.7,Fusion Zone (E6018)
X70-S355,E6018,-0.9,194.3,178.9,198.6,190.6,10.4,Fusion Zone (E6018)
X70-S355,E6018,-0.8,189.3,197.5,193.6,193.5,4.1,Fusion Zone (E6018)
X70-S355,E6018,-0.7,187.7,197.5,202.5,195.9,7.5,Fusion Zone (E6018)
X70-S355,E6018,-0.6,194.6,185.2,192.1,190.6,4.9,Fusion Zone (E6018)
X70-S355,E6018,-0.5,190.0,190.4,185.4,188.6,2.8,Fusion Zone (E6018)
X70-S355,E6018,-0.4,184.5,176.3,193.2,184.7,8.5,Fusion Zone (E6018)
X70-S355,E6018,-0.3,190.4,182.2,190.9,187.8,4.9,Fusion Zone (E6018)
X70-S355,E6018,-0.2,189.3,182.0,190.8,187.4,4.7,Fusion Zone (E6018)
X70-S355,E6018,-0.1,194.2,185.1,180.2,186.5,7.1,Fusion Zone (E6018)
X70-S355,E6018,0.0,195.6,184.0,189.4,189.7,5.8,Fusion Zone (E6018)
X70-S355,E6018,0.1,198.2,192.7,185.3,192.1,6.5,Fusion Zone (E6018)
X70-S355,E6018,0.2,181.9,191.1,185.6,186.2,4.6,Fusion Zone (E6018)
X70-S355,E6018,0.3,192.4,199.1,184.9,192.1,7.1,Fusion Zone (E6018)
X70-S355,E6018,0.4,183.7,191.2,195.0,190.0,5.8,Fusion Zone (E6018)
X70-S355,E6018,0.5,191.2,184.2,185.3,186.9,3.8,Fusion Zone (E6018)
X70-S355,E6018,0.6,194.1,199.3,196.4,196.6,2.6,Fusion Zone (E6018)
X70-S355,E6018,0.7,195.5,193.7,191.8,193.7,1.9,Fusion Zone (E6018)
X70-S355,E6018,0.8,187.5,189.5,194.2,190.4,3.4,Fusion Zone (E6018)
X70-S355,E6018,0.9,200.5,189.4,190.2,193.4,6.2,Fusion Zone (E6018)
X70-S355,E6018,1.0,189.7,203.4,191.3,194.8,7.5,Fusion Zone (E6018)
X70-S355,E6018,1.1,188.4,185.3,190.5,188.1,2.6,Fusion Zone (E6018)
X70-S355,E6018,1.2,190.1,199.6,182.8,190.8,8.4,Fusion Zone (E6018)
X70-S355,E6018,1.3,194.3,188.2,190.7,191.1,3.1,Fusion Zone (E6018)
X70-S355,E6018,1.4,184.6,188.6,186.0,186.4,2.0,Fusion Zone (E6018)
X70-S355,E6018,1.5,185.0,195.1,194.7,191.6,5.7,Fusion Zone (E6018)
X70-S355,E6018,1.6,193.6,191.1,192.2,192.3,1.3,Fusion Zone (E6018)
X70-S355,E6018,1.7,193.1,197.9,186.6,192.5,5.7,Fusion Zone (E6018)
X70-S355,E6018,1.8,183.5,189.6,190.0,187.7,3.6,Fusion Zone (E6018)
X70-S355,E6018,1.9,187.2,190.4,190.8,189.5,2.0,Fusion Zone (E6018)
X70-S355,E6018,2.0,189.3,190.2,197.9,192.5,4.7,Fusion Zone (E6018)
X70-S355,E6018,2.1,191.8,193.3,194.7,193.3,1.5,Fusion Zone (E6018)
X70-S355,E6018,2.2,192.3,189.0,190.9,190.7,1.7,Fusion Zone (E6018)
X70-S355,E6018,2.3,192.2,196.4,182.7,190.4,7.0,Fusion Zone (E6018)
X70-S355,E6018,2.4,188.5,190.5,194.3,191.1,2.9,Fusion Zone (E6018)
X70-S355,E6018,2.5,198.1,192.6,182.6,191.1,7.9,Fusion Zone (E6018)
X70-S355,E6018,2.6,186.5,195.7,191.1,191.1,4.6,Fusion Zone (E6018)
X70-S355,E6018,2.7,194.7,188.4,188.3,190.5,3.7,Fusion Zone (E6018)
X70-S355,E6018,2.8,197.8,180.2,188.3,188.8,8.8,Fusion Zone (E6018)
X70-S355,E6018,2.9,190.1,186.7,184.7,187.2,2.7,Fusion Zone (E6018)
X70-S355,E6018,3.0,189.6,194.1,196.6,193.4,3.5,Fusion Zone (E6018)
X70-S355,E6018,3.1,197.5,199.2,193.3,196.7,3.0,Fusion Zone (E6018)
X70-S355,E6018,3.2,194.0,193.6,190.8,192.8,1.7,Fusion Zone (E6018)
X70-S355,E6018,3.3,196.3,188.8,190.0,191.7,4.0,Fusion Zone (E6018)
X70-S355,E6018,3.4,186.7,195.5,194.5,192.2,4.8,Fusion Zone (E6018)
X70-S355,E6018,3.5,190.9,194.6,179.8,188.4,7.7,Fusion Zone (E6018)
X70-S355,E6018,3.6,184.7,194.6,188.1,189.1,5.0,Fusion Zone (E6018)
X70-S355,E6018,3.7,196.2,201.5,180.7,192.8,10.8,Fusion Zone (E6018)
X70-S355,E6018,3.8,194.3,191.2,195.8,193.8,2.3,HAZ - S355 side
X70-S355,E6018,3.9,193.5,184.1,190.5,189.4,4.8,HAZ - S355 side
X70-S355,E6018,4.0,201.2,194.7,185.1,193.7,8.1,HAZ - S355 side
X70-S355,E6018,4.1,192.6,197.4,192.2,194.1,2.9,HAZ - S355 side
X70-S355,E6018,4.2,200.1,197.7,187.7,195.2,6.6,HAZ - S355 side
X70-S355,E6018,4.3,203.5,199.4,204.3,202.4,2.6,HAZ - S355 side
X70-S355,E6018,4.4,210.2,204.7,204.7,206.5,3.2,HAZ - S355 side
X70-S355,E6018,4.5,199.9,195.9,202.3,199.4,3.2,HAZ - S355 side
X70-S355,E6018,4.6,207.8,206.0,204.5,206.1,1.7,HAZ - S355 side
X70-S355,E6018,4.7,194.4,191.9,201.2,195.8,4.8,HAZ - S355 side
X70-S355,E6018,4.8,183.2,181.1,190.7,185.0,5.0,HAZ - S355 side
X70-S355,E6018,4.9,180.3,175.7,173.1,176.4,3.6,HAZ - S355 side
X70-S355,E6018,5.0,169.9,165.6,173.1,169.5,3.8,Base Metal - S355 side
X70-S355,E6018,5.1,170.2,164.1,176.7,170.3,6.3,Base Metal - S355 side
X70-S355,E6018,5.2,169.0,162.8,175.3,169.0,6.3,Base Metal - S355 side
X70-S355,E6018,5.3,170.9,174.5,187.6,177.7,8.8,Base Metal - S355 side
X70-S355,E6018,5.4,168.2,168.1,171.6,169.3,2.0,Base Metal - S355 side
X70-S355,E6018,5.5,171.4,165.5,165.6,167.5,3.4,Base Metal - S355 side
X70-S355,E6018,5.6,179.8,176.1,162.1,172.7,9.3,Base Metal - S355 side
X70-S355,E6018,5.7,167.9,163.1,164.6,165.2,2.5,Base Metal - S355 side
X70-S355,E6018,5.8,165.5,170.6,164.8,167.0,3.2,Base Metal - S355 side
X70-S355,E6018,5.9,172.7,166.0,166.6,168.4,3.7,Base Metal - S355 side
X70-S355,E6018,6.0,161.8,171.3,176.4,169.8,7.4,Base Metal - S355 side
X70-S355,E6018,6.1,164.1,160.0,176.7,166.9,8.7,Base Metal - S355 side
X70-S355,E6018,6.2,165.6,166.2,164.6,165.5,0.8,Base Metal - S355 side
X70-S355,E6018,6.3,165.1,166.2,160.4,163.9,3.1,Base Metal - S355 side
X70-S355,E6018,6.4,166.4,163.7,166.3,165.5,1.5,Base Metal - S355 side
X70-S355,E6018,6.5,163.8,172.5,169.9,168.7,4.5,Base Metal - S355 side
X70-S355,E6018,6.6,166.5,169.0,175.4,170.3,4.6,Base Metal - S355 side
X70-S355,E6018,6.7,154.2,169.5,155.6,159.8,8.5,Base Metal - S355 side
X70-S355,E6018,6.8,152.8,158.5,170.3,160.5,8.9,Base Metal - S355 side
X70-S355,E6018,6.9,157.2,169.8,167.5,164.8,6.7,Base Metal - S355 side
X70-S355,E6018,7.0,161.9,168.2,161.0,163.7,3.9,Base Metal - S355 side
X70-S355,E6018,7.1,173.4,154.9,169.1,165.8,9.7,Base Metal - S355 side
X70-S355,E6018,7.2,163.4,158.4,160.8,160.9,2.5,Base Metal - S355 side
X70-S355,E6018,7.3,169.7,161.8,168.4,166.6,4.2,Base Metal - S355 side
X70-S355,E6018,7.4,161.0,163.9,170.5,165.1,4.9,Base Metal - S355 side
X70-S355,E6018,7.5,165.6,166.8,155.1,162.5,6.4,Base Metal - S355 side
X70-S355,E6018,7.6,159.5,157.7,162.1,159.8,2.2,Base Metal - S355 side
X70-S355,E6018,7.7,172.7,179.2,156.8,169.6,11.5,Base Metal - S355 side
X70-S355,E6018,7.8,156.7,161.0,163.3,160.3,3.4,Base Metal - S355 side
X70-S355,E6018,7.9,169.8,158.5,167.6,165.3,6.0,Base Metal - S355 side
X70-S355,E6018,8.0,172.4,159.6,164.5,165.5,6.5,Base Metal - S355 side
